1 S-ZORB.CAL_H2.PV 0.20-0.37 0.01
2 S-ZORB.PDI_2102.PV 10-35 1
3 S-ZORB.PT_2801.PV 2.35-2.70 0.1
4 S-ZORB.FC_2801.PV 600-1000 50
5 S-ZORB.TE_2103.PV 410-435 1
6 S-ZORB.TE_2005.PV 399-430 1
7 S-ZORB.PT_2101.PV 2.25-2.55 0.1
8 S-ZORB.PDT_2104.PV 50-110 5
9 S-ZORB.SIS_PDT_2103B.PV 8-1500 100
10 S-ZORB.TC_2101.PV 165-250 2
11 S-ZORB.TE_2301.PV 240-400 2
12 S-ZORB.PT_2301.PV 2.25-2.55 0.1
13 S-ZORB.FC_2301.PV 0-350 50
14 S-ZORB.PC_2105.PV 4.5-5.85 0.1
15 S-ZORB.PC_5101.PV 0.60-0.70 0.05
16 S-ZORB.TC_5005.PV 100-150 1
17 S-ZORB.LC_5001.PV 45-60 1
18 S-ZORB.LC_5101.PV 40-800 50
19 S-ZORB.TE_5102.PV 20-40 1
20 S-ZORB.TE_5202.PV 30-45 1
21 S-ZORB.FC_5202.PV 90-160 10
22 S-ZORB.AT_5201.PV 0-5 1
23 S-ZORB.PT_9301.PV 0.5-1.3 0.1
24 S-ZORB.FT_9301.PV 0-3500 50
25 S-ZORB.FT_1501.PV 0-3500 50
26 S-ZORB.FT_5104.PV 0-3500 50
27 S-ZORB.FT_5101.PV 430-1500 50
28 S-ZORB.FT_9101.PV 0-85 5
29 S-ZORB.TE_9001.PV 10-40 1
30 S-ZORB.PT_9001.PV 0.35-0.55 0.1
31 S-ZORB.FT_9001.PV 350-600 50
32 S-ZORB.FT_9403.PV 250-800 50
33 S-ZORB.PT_9403.PV 0.95-1.00 0.05
34 S-ZORB.TE_9301.PV 150-250 1
35 S-ZORB.FT_9201.PV 250-900 50
36 S-ZORB.FT_9202.PV 250-600 50
37 S-ZORB.FT_9302.PV 3-6500 50
38 S-ZORB.FT_3301.PV 10-1500 50
39 S-ZORB.FT_9402.PV 0-900 50
40 S-ZORB.PT_9402.PV 0.55-0.70 0.05
41 S-ZORB.FT_9401.PV 25-900 50
42 S-ZORB.PT_9401.PV 0.35-0.60 0.05
43 S-ZORB.PDC_2502.PV -1-(55) -5
44 S-ZORB.FC_2501.PV 20-55 5
45 S-ZORB.FT_1001.PV 40-145 5
46 S-ZORB.FT_1002.PV 0-140 5
47 S-ZORB.FT_1003.PV 0-75 5
48 S-ZORB.FT_1004.PV 0-90 5
49 S-ZORB.SIS_LT_1001.PV 40-80 10
50 S-ZORB.TE_1001.PV 35-80 1
51 S-ZORB.FC_1005.PV 95-160 10
52 S-ZORB.FC_1101.PV 90-145 0.5
53 S-ZORB.FC_1102.PV 5500-9000 100
54 S-ZORB.AT_1001.PV 1.5-650 10
55 S-ZORB.TE_1105.PV 40-80 1
56 S-ZORB.PDI_1102.PV 0-0.25 0.05
57 S-ZORB.TE_1601.PV 350-400 1
58 S-ZORB.SIS_TE_6010.PV 10-180 1
59 S-ZORB.PC_6001.PV -0.20-0 -0.05
60 S-ZORB.AC_6001.PV 1.5-7.75 0.05
61 S-ZORB.TE_1608.PV 400-500 1
62 S-ZORB.TC_1606.PV 400-450 1
63 S-ZORB.PT_6002.PV -0.60-(-0.15) -0.1
64 S-ZORB.PC_1603.PV 0-0.20 0.05
65 S-ZORB.PT_1602A.PV 0.35-0.40 0.1
66 S-ZORB.PC_1301.PV 2.55-3.55 0.1
67 S-ZORB.PT_1201.PV 2.20-2.50 0.1
68 S-ZORB.LC_1201.PV 45-55 5
69 S-ZORB.FC_1201.PV 75-150 5
70 S-ZORB.TE_1201.PV 100-150 1
71 S-ZORB.TE_1203.PV 25-50 1
72 S-ZORB.LC_1202.PV 45-55 5
73 S-ZORB.FC_1203.PV 5-15 1
74 S-ZORB.FC_1202.PV 0-300 30
75 S-ZORB.PC_1202.PV 2.00-2.45 0.1
76 S-ZORB.TC_2801.PV 200-350 1
77 S-ZORB.FC_3101.PV 90-550 50
78 S-ZORB.FC_3103.PV 0-80 10
79 S-ZORB.FC_2601.PV 2-100 10
80 S-ZORB.PC_2601.PV 0-0.15 0.05
81 S-ZORB.PDT_2604.PV 20-45 5
82 S-ZORB.TE_2601.PV 200-400 1
83 S-ZORB.TC_2607.PV 450-520 1
84 S-ZORB.AI_2903.PV 0.5-3 0.2
85 S-ZORB.PDI_2703A.PV 25-60 5
86 S-ZORB.PDC_2607.PV 1-50 2
87 S-ZORB.FT_9102.PV 20-20000000 1000
88 S-ZORB.PT_1501.PV 0-2.5 0.2
89 S-ZORB.FT_1002.TOTAL 0-620 10
90 S-ZORB.FT_1004.TOTAL 16000-2400000 10000
91 S-ZORB.FT_9001.TOTAL 85000-14000000 10000
92 S-ZORB.FT_5104.TOTAL 12-14000 500
93 S-ZORB.FT_5201.TOTAL 15000-4000000 10000
94 S-ZORB.FT_5101.TOTAL 150000-26000000 10000
95 S-ZORB.FT_9101.TOTAL 425-120000 10000
96 S-ZORB.FT_1501.TOTAL 0-55000000 10000
97 S-ZORB.FT_1003.TOTAL 1100-1500000 10000
98 S-ZORB.FT_3301.TOTAL 45-25000 1000
